simulation_id,probability,payoutMultiplier
343,0.0001,940
344,0.0001,83
345,0.0001,16
346,0.0001,209
347,0.0001,1575
348,0.0001,1614
349,0.0001,1659
350,0.0001,116
351,0.0001,871
352,0.0001,691
353,0.0001,1623
354,0.0001,1085
355,0.0001,139
356,0.0001,212
357,0.0001,910
358,0.0001,310
359,0.0001,1672
360,0.0001,831
361,0.0001,62
362,0.0001,727
363,0.0001,232
364,0.0001,2438
365,0.0001,1705
366,0.0001,876
367,0.0001,79
368,0.0001,164
369,0.0001,1802
370,0.0001,62
371,0.0001,1040
372,0.0001,148
373,0.0001,163
374,0.0001,1062
375,0.0001,62
376,0.0001,922
377,0.0001,961
378,0.0001,3789
379,0.0001,3199
380,0.0001,1019
381,0.0001,78
382,0.0001,219
383,0.0001,689
384,0.0001,157
385,0.0001,77
386,0.0001,1665
387,0.0001,817
388,0.0001,1710
389,0.0001,817
390,0.0001,866
391,0.0001,899
392,0.0001,1530
393,0.0001,939
394,0.0001,3067
395,0.0001,46
396,0.0001,1539
397,0.0001,165
398,0.0001,3037
399,0.0001,77
400,0.0001,1801
401,0.0001,62
402,0.0001,178
403,0.0001,1099
404,0.0001,62
405,0.0001,1684
406,0.0001,738
407,0.0001,668
408,0.0001,883
409,0.0001,1473
410,0.0001,323
411,0.0001,335
412,0.0001,874
413,0.0001,612
414,0.0001,170
415,0.0001,109
416,0.0001,618
417,0.0001,1628
418,0.0001,47
419,0.0001,835
420,0.0001,47
421,0.0001,1771
422,0.0001,78
423,0.0001,853
424,0.0001,682
425,0.0001,1597
426,0.0001,1066
427,0.0001,1673
428,0.0001,1616
429,0.0001,2309
430,0.0001,2525
431,0.0001,311
432,0.0001,861
433,0.0001,720
434,0.0001,817
435,0.0001,77
436,0.0001,62
437,0.0001,1734
438,0.0001,249
439,0.0001,938
440,0.0001,2955
441,0.0001,873
442,0.0001,871
443,0.0001,773
444,0.0001,881
445,0.0001,712
446,0.0001,1025
447,0.0001,155
448,0.0001,823
449,0.0001,818
450,0.0001,224
451,0.0001,826
452,0.0001,62
453,0.0001,4385
454,0.0001,3957
455,0.0001,797
456,0.0001,154
457,0.0001,1521
458,0.0001,0
459,0.0001,992
460,0.0001,923
461,0.0001,1073
462,0.0001,853
463,0.0001,810
464,0.0001,660
465,0.0001,46
466,0.0001,139
467,0.0001,146
468,0.0001,47
469,0.0001,711
470,0.0001,2251
471,0.0001,47
472,0.0001,108
473,0.0001,880
474,0.0001,707
475,0.0001,1518
476,0.0001,1040
477,0.0001,971
478,0.0001,108
479,0.0001,31
480,0.0001,971
481,0.0001,0
482,0.0001,162
483,0.0001,1745
484,0.0001,47
485,0.0001,884
486,0.0001,1425
487,0.0001,169
488,0.0001,79
489,0.0001,139
490,0.0001,1054
491,0.0001,70
492,0.0001,1055
493,0.0001,255
494,0.0001,82
495,0.0001,2372
496,0.0001,124
497,0.0001,62
498,0.0001,2268
499,0.0001,1692
500,0.0001,868
501,0.0001,93
502,0.0001,2150
503,0.0001,902
504,0.0001,930
505,0.0001,278
506,0.0001,1097
507,0.0001,146
508,0.0001,300
509,0.0001,175
510,0.0001,203
511,0.0001,899
512,0.0001,742
513,0.0001,1558
514,0.0001,70
515,0.0001,684
516,0.0001,93
517,0.0001,23
518,0.0001,147
519,0.0001,170
520,0.0001,1062
521,0.0001,171
522,0.0001,304
523,0.0001,770
524,0.0001,1118
525,0.0001,0
526,0.0001,70
527,0.0001,278
528,0.0001,1102
529,0.0001,123
530,0.0001,879
531,0.0001,16
532,0.0001,0
533,0.0001,1945
534,0.0001,144
535,0.0001,758
536,0.0001,915
537,0.0001,2303
538,0.0001,863
539,0.0001,139
540,0.0001,677
541,0.0001,1205
542,0.0001,239
543,0.0001,1474
544,0.0001,412
545,0.0001,855
546,0.0001,77
547,0.0001,1088
548,0.0001,1589
549,0.0001,124
550,0.0001,2460
551,0.0001,31
552,0.0001,1537
553,0.0001,879
554,0.0001,863
555,0.0001,171
556,0.0001,1670
557,0.0001,124
558,0.0001,884
559,0.0001,31
560,0.0001,46
561,0.0001,94
562,0.0001,1017
563,0.0001,154
564,0.0001,1613
565,0.0001,185
566,0.0001,181
567,0.0001,639
568,0.0001,148
569,0.0001,1632
570,0.0001,3231
571,0.0001,114
572,0.0001,853
573,0.0001,126
574,0.0001,1701
575,0.0001,1003
576,0.0001,923
577,0.0001,850
578,0.0001,773
579,0.0001,1862
580,0.0001,154
581,0.0001,767
582,0.0001,720
583,0.0001,140
584,0.0001,1154
585,0.0001,908
586,0.0001,154
587,0.0001,31
588,0.0001,144
589,0.0001,110
590,0.0001,2271
591,0.0001,171
592,0.0001,1459
593,0.0001,2447
594,0.0001,4693
595,0.0001,863
596,0.0001,202
597,0.0001,200
598,0.0001,207
599,0.0001,78
600,0.0001,0
601,0.0001,871
602,0.0001,1710
603,0.0001,160
604,0.0001,216
605,0.0001,70
606,0.0001,912
607,0.0001,187
608,0.0001,1765
609,0.0001,960
610,0.0001,189
611,0.0001,705
612,0.0001,143
613,0.0001,894
