simulation_id,probability,payoutMultiplier
0,0.0001,0
1,0.0001,47
2,0.0001,1101
3,0.0001,62
4,0.0001,0
5,0.0001,865
6,0.0001,46
7,0.0001,116
8,0.0001,860
9,0.0001,0
10,0.0001,0
11,0.0001,830
12,0.0001,78
13,0.0001,124
14,0.0001,1778
15,0.0001,62
16,0.0001,830
17,0.0001,1565
18,0.0001,16
19,0.0001,0
20,0.0001,708
21,0.0001,93
22,0.0001,770
23,0.0001,1872
24,0.0001,103
25,0.0001,108
26,0.0001,124
27,0.0001,109
28,0.0001,227
29,0.0001,31
30,0.0001,62
31,0.0001,77
32,0.0001,881
33,0.0001,139
34,0.0001,92
35,0.0001,62
36,0.0001,62
37,0.0001,124
38,0.0001,901
39,0.0001,31
40,0.0001,955
41,0.0001,93
42,0.0001,0
43,0.0001,170
44,0.0001,0
45,0.0001,0
46,0.0001,129
47,0.0001,886
48,0.0001,77
49,0.0001,171
50,0.0001,612
51,0.0001,1011
52,0.0001,62
53,0.0001,93
54,0.0001,62
55,0.0001,773
56,0.0001,830
57,0.0001,54
58,0.0001,92
59,0.0001,635
60,0.0001,62
61,0.0001,0
62,0.0001,108
63,0.0001,93
64,0.0001,46
65,0.0001,1380
66,0.0001,172
67,0.0001,42
68,0.0001,0
69,0.0001,134
70,0.0001,139
71,0.0001,0
72,0.0001,814
73,0.0001,3325
74,0.0001,124
75,0.0001,69
76,0.0001,77
77,0.0001,164
78,0.0001,0
79,0.0001,1500
80,0.0001,72
81,0.0001,131
82,0.0001,612
83,0.0001,32
84,0.0001,139
85,0.0001,46
86,0.0001,861
87,0.0001,1536
88,0.0001,185
89,0.0001,123
90,0.0001,768
91,0.0001,171
92,0.0001,79
93,0.0001,814
94,0.0001,47
95,0.0001,46
96,0.0001,75
97,0.0001,108
98,0.0001,674
99,0.0001,140
100,0.0001,155
101,0.0001,77
102,0.0001,0
103,0.0001,108
104,0.0001,62
105,0.0001,1082
106,0.0001,960
107,0.0001,188
108,0.0001,54
109,0.0001,159
110,0.0001,93
111,0.0001,85
112,0.0001,915
113,0.0001,940
114,0.0001,94
115,0.0001,172
116,0.0001,657
117,0.0001,78
118,0.0001,62
119,0.0001,92
